,precision,recall,f1-score,support
non-spam,0.9335142469470827,1.0,0.9656140350877193,15824.0
spam,0.0,0.0,0.0,1127.0
accuracy,0.9335142469470827,0.9335142469470827,0.9335142469470827,0.9335142469470827
macro avg,0.46675712347354137,0.5,0.48280701754385963,16951.0
weighted avg,0.871448849253179,0.9335142469470827,0.9014144588064462,16951.0
