,precision,recall,f1-score,support
non-spam,0.9158186864014801,0.8519793459552496,0.8827463218903254,1162.0
spam,0.8621794871794872,0.9220222793487575,0.8910973084886128,1167.0
accuracy,0.8870759982825247,0.8870759982825247,0.8870759982825247,0.8870759982825247
macro avg,0.8889990867904837,0.8870008126520035,0.8869218151894691,2329.0
weighted avg,0.8889415092902453,0.8870759982825247,0.8869307793227863,2329.0
